"Index","Tokens"
"55","[play, prepare, big, lunch, year, bring, hall, discussion, bit, hope, cover, number, pick, friend, age.it, enter, exhibit, plan, write, grow, younger, work, understand, opportunity, community, easy, intelligence, slide, tiny, reality, drive, device, larger, chapter, enjoy, exercise, augment, lot, tablemate, term, older, place, copy, free, close, connect, include, starter, mini, learn, break, forward, tired, great, people, destructive, call, cyber.org, face, watch, future, machine, thing, fun, stuff, small, rotor, buy, simple, good, amazing, post, school, create, talk, day, conversation, group, waste, read, educational, presenter, occur, cryptography, clock, involved, ethic, csta_writing, replacement, party, distract, birthday, note, virtual, game, code, student, session, book, kid, pure, proctor, boy, platform, metaverse, exceedingly, teacher, arrive, kit, company, sheet, hear, splurge, introduction, cipher, move, pretty, teach, interesting, start, fault, reading, generic, room, minute, afternoon, modify, artificial, pdf, build, interaction, glad, duty, developer, time, magazine]"
"56","[big, career, fancy, expert, education, software, sized, program, bit, fit, offer, presence, write, order, underserved, large, issue, work, opportunity, community, booth, meta, science, historically, impression, adult, strong, conference, access, aim, facilitator, lot, computer, free, graphic, regular, surprised, include, address, childhood, explore, curriculum, people, great, prototype, nice, swing, component, future, afterschool, stir, choice, thing, fun, powered, main, blog, good, school, emphasis, talk, day, tech, alphabetical, curiosity, level, resource, touch, collection, engineering, market, support, child, minecraft, game, week, code, color, young, session, fb.com, link, underrepresented, cap, teacher, hour, interest, design, company, notice, social, introduce, teach, start, arcade, increase, message, engineer, material, build, micro, learner, comprehensive, age, stem]"
"57","[big, thought, year, gadget, safer, hall, 11pm, program, robot, trip, friend, catch, exhibit, write, hardware, app, grow, issue, work, tomorrow, wonderful, require, intelligence, booth, registration, vaccination, love, chapter, flight, conference, settle, wear, remember, lot, hotel, share, theme, set, learn, curriculum, people, great, face, swing, meet, chat, travel, thing, open, register, represent, covid, couple, dig, attend, reader, feel, blog, body, good, amazing, blogg, earlier, talk, day, train, programable, surprise, workshop, pay, check, measure, transit, person, idea, mass, media, yesterday, timer, highlight, computing, security, provider, arrive, today, company, dump, physical, hear, mask, figure, 6am, attendee, follower, exhibitor, social, teach, interesting, artificial, glad, visit, time, walk]"
"58","[college, play, decade, education, year, commit, focus, program, remote, building, incubate, suffer, pick, friend, stick, catch, state, generation, hallway, large, work, require, community, recognize, easy, innovator, field, provide, comfortable, completely, conference, woman, lot, accommodate, hotel, broader, man, panel, connect, include, question, decision, honestly, learn, change, suspect, great, people, supporter, comfort, understate, awesome, expect, face, complete, travel, thing, facility, covid, attend, bonus, invest, sign, amazing, split, post, passport, leave, bias, talk, introvert, conversation, group, read, presenter, level, author, format, engineering, check, real, hybrid, circumstance, person, guideline, topic, support, elephant, memory, student, session, contribute, recording, choose, slot, paper, organize, scope, divide, track, harder, hear, mask, sit, convention, normal, pretty, attendee, interesting, center, multiple, control, technology, specific, room, money, fund, interaction, challenge, time, visit, renew, walk]"
"59","[equivalent, increasingly, door, big, minor, scare, focus, apsca, language, simple, discussion, discipline, program, serve, preparation, debate, compute, high, major, post, school, majority, helpful, api, programming, case, algorithm, area, grow, ideal, occur, remain, astronomy, impactful, easy, tool, rigorous, field, improve, adjust, true, impression, completely, circle, favorite, cs1, study, purpose, student, university, concept, recipe, teaching, learning, turn, thinking, switch, lot, computing, today, physics, ignore, weed, panel, department, stand, normal, rest, move, question, business, learn, bigger, teach, change, apcsa, curriculum, people, apcs, non-cs, answer, traditionally, future, obvious, thing, open]"
"60","[equivalent, prepare, big, bring, focus, discussion, discipline, type, number, problem, enable, easily, model, api, strict, write, algorithm, happen, apo, audience, grow, agreement, programmer, lose, impact, agree, exam, exist, science, standpoint, drive, dog, wider, study, widen, range, gain, lot, diversity, computer, library, lean, member, power, panel, map, hand, include, side, decision, curly, learn, change, revisit, people, call, non-cs, answer, cite, thing, open, discuss, standard, surely, argument, strength, feel, language, minded, poll, blog, space, compute, high, major, white, post, school, raise, talk, dynamic, reluctant, cruft, criticism, wash, brace, sort, develop, longer, person, typing, cs1, datum, critical, student, purpose, university, idea, concept, switch, yesterday, weakness, computing, spend, scope, hard, factor, early, fight, rest, move, cost, limited, advantage, teach, start, clear, argue, increase, specific, intent, structure, apcs, easier, time, avoid]"
"61","[career, correct, focus, project, simple, program, good, high, post, experiment, school, review, function, create, easily, enter, write, programming, development, textbook, read, typically, resource, understand, ide, piece, option, study, code, student, advice, university, recommend, teaching, learning, long, lot, teacher, interest, spend, class, introduction, explore, learn, great, environment, succeed, easier, time, walk, open, assign]"
"62","[communicate, simple, language, program, integer, smell, good, influence, identical, ambiguity, character, problem, post, beginner, meaning, action, write, day, programming, case, actual, identifier, item, pointer, read, programmer, pay, handle, sort, sure.it, easy, provide, unique, letter, true, difference, rarely, completely, assume, starting, valuable, child, care, datum, note, deal, fact, code, student, automatically, secret, error, worth, lot, tend, computer, public, gloss, spend, share, power, compiler, convention, minimize, pretty, identify, perform, start, draw, store, involve, people, great, int, sharp, wrong, call, special, subtle, powerful, culture, variable, attention, rose, location, comment, time, sweet]"
"63","[play, magic, big, education, thought, year, subject, sound, feel, language, fair, program, professionally, good, fit, problem, post, school, find, zealot, friend, talk, write, programming, add, area, aske, internally, read, work, imbed, lower, sense, real, basis, easy, exist, guess, science, grade, math, collect, journale, higher, datum, participation, humble, note, study, student, idea, industry, teaching, bootstrap, thinking, worth, conclusion, lot, general, database, computer, teacher, common, lean, organize, physics, definition, win, early, broaden, innovation, move, set, practical, question, learn, teach, curriculum, draw, teaspoon, opinion, expect, application, answer, lease, time, thing]"
"64","[play, die, simulation, happy, dice, project, bit, good, engraver, problem, post, pick, friend, basically, create, simulate, programming, python, presenter, probability, sort, provide, personally, highest, binary, math, send, favorite, object, higher, love, compare, code, student, unexpected, link, roll, box, algebra, video, long, lot, result, computer, teacher, top, laser, interest, ripe, class, side, figure, btw, advantage, interesting, teach, multiple, sided, fast, watch, build, logic, grab, thing, fun, statistics, stuff, mathematical]"
"65","[plane, standard, couple, quick, backup, attend, year, usb, bring, hall, hope, laptop, blog, robot, post, leave, find, horrible, tag, exhibit, day, cable, plan, conversation, read, excited, excellent, workshop, ribbon, check, pack, cybersecurity, heavy, booth, cord, badge, phone, light, person, plug, swag, card, hash, full, 14th, note, sponsor, extension, #csta2022, conference, session, book, winter, update, recommend, packing, battery, ride, long, life, tend, load, ready, extra, kit, regular, live, rest, pretty, charge, decision, previous, business, btw, forward, follow, people, great, room, schedule, cyber.org, expect, backpack, online, finalize, time, socket, visit, troublemaker]"
"66","[play, role, student, technologist, motivation, respondent, program, good, educator, influence, high, award, teacher, encourage, school, eligible, state, deadline, https://www.aspirations.org/participate/high-school, generation, level, apply, 2nd, 5th, technology, girl, great, spread, endorse, application, pivotal, encouragement, recipient, survey, interested, thing, support, word, open]"
"67","[receive, woman, technical, apply, opportunity, recommend, girl, impactful, prize, network, entry, award, school, peer, engrave, scholarship, grade, recipient, share, internship, status, highly]"
"68","[college, parent, education, software, advanced, release, focus, program, number, merge, friend, write, preparatory, greater, grow, pass, wife, wrongly, creative, benefit, population, senior, science, offering, reality, greatly, wider, fact, cut, influential, semi-rural, admire, long, lot, computer, share, regular, mine, include, middle, learn, curriculum, people, great, face, answer, thing, stuff, small, evidence, administration, subject, good, exploratory, amazing, high, school, shortage, basically, train, worry, read, motivated, attractive, check, background, absolutely, focused, survey, support, send, migrate, specialized, private, virtual, week, student, idea, concept, video, perpetuate, integrated, general, society, teacher, design, motivate, class, pretty, limited, headset, introduce, interesting, teach, reading, special, administrative, visit, time, tempting, comprehensive]"
"69","[datum, couple, access, scientist, bit, lot, view, computer, society, car, today, key, knowledge, quiz, question, mile, understand, sort, basis, controversy, people, exam, driver, answer, meta, science, drive, thing, collect]"
"70","[college, career, education, theoretical, reach, project, focus, good, identical, high, vocational, bind, solution, differently, balance, school, limit, judge, runner, creativity, inherent, understand, creative, tool, completely, drive, elephant, co-founder, deep, blind, fact, activity, analytical, student, achieve, weekend, concept, careful, turn, educator, lot, highlight, tend, motivate, ignore, share, man, stand, class, direction, interesting, people, likewise, avoid, thing]"
"71","[career, education, software, year, intertwined, decide, discipline, program, hope, bit, relate, educate, meeting, azure, hardware, item, advisory, night, classroom, analysis, execute, intelligence, exist, provide, guess, science, reality, coach, influential, gut, document, industry, teaching, local, long, educator, lot, augment, computer, web, experimentation, man, place, free, mix, regular, key, connect, include, set, business, question, learn, suggestion, cool, curriculum, involve, brain, people, great, awesome, face, meet, future, exciting, thing, minimum, indian, open, story, standard, argument, visualization, attend, reader, practically, recognition, project, main, experience, blog, good, cloud, compute, regularly, high, major, school, leave, emphasis, host, create, talk, huge, implement, helpful, totally, day, conversation, combine, combination, image, read, motivated, develop, tool, personally, piece, elephant, support, internet, blind, virtual, technical, student, concept, attract, overwhelmed, interact, choose, learning, video, augmented, head, computing, teacher, interest, ready, spend, design, daunting, hard, floor, class, highly, pretty, figure, attendee, sexy, implementation, teach, interesting, start, technology, artificial, fund, build, service, time, aws, account]"
"72","[big, policymaker, polysci, political, minded, fair, discussion, explanation, required, cover, major, academic, deeply, talk, scary, write, group, tech, aske, textbook, read, issue, individual, work, impact, understand, dry, sort, list, hyperbola, intelligence, blatant, topic, understandable, scaremongering, datum, cheerleading, deal, fact, student, scientist, book, sociology, lot, optimistic, computer, society, computing, library, top, paper, psychology, today, civil, reserve, copy, stand, class, reboot, philosopher, set, question, business, social, teach, clear, start, reading, technology, people, great, democracy, wrong, connected, artificial, organization, obvious, time, thing, open, assign]"
"73","[education, half, attend, year, project, pedagogy, autonomous, program, ambiguous, dozen, cloud, problem, beginner, enable, create, write, programming, surprise, encouraging, goal, read, researcher, workshop, programmer, intriguing, develop, demand, tough, personalize, tutor, system, hint, drive, assume, deal, code, idea, link, teaching, papers, smarter, tend, general, computer, teacher, web, hard, harder, human, synthesis, prose, move, forward, assistant, team, curriculum, intelligent, logical, call, build, skeptical, publish, online, time]"
"74","[big, prepare, year, release, program, discussion, type, concern, problem, context, understanding, easily, hate, spoiler, write, case, method, btnget_click, impact, understand, classroom, version, accept, intelligence, guess, impression, completely, love, turn, lot, computer, current, default, gray, feature, place, key, hand, completion, expression, question, suggestion, predictive, suspect, call, awesome, typo, thing, declare, correct, replace, project, good, faster, hit, prefect, tab, beginner, continue, loop, limit, basically, helpful, potential, train, area, read, sort, tool, personally, adjust, typing, blame, assume, preview, cursor, badly, code, string, harm, student, careful, chunk, faith, prevent, foreach, teacher, admit, array, predict, divide, mistake, start, specific, artificial, boolean, inline, form, build, variable, simply, base]"
"75","[smaller, select, craft, project, simple, decide, convert, program, serve, bit, good, output, amazing, problem, solution, find, loop, create, block, finish, calculate, creativity, day, programming, conversation, combination, furlong, issue, celebrate, mile, degree, difficult, opportunity, require, easy, creative, tool, input, system, celsius, guess, science, grade, bog, colorful, larger, love, deal, code, student, purpose, idea, recipe, choose, learning, teaching, turn, measurement, principal, lot, foreach, teacher, library, encourage, skill, place, hard, class, graphic, introduction, early, hand, conversion, mind, art, decision, start, great, structure, amazed, expect, semester, time, thing, open, assign]"
"76","[docs.google.com, practice, year, reader, simple, program, convert, lab, type, good, operator, number, find, calculate, reply, day, write, programming, order, add, area, @kellylougheed, law, mile, island, require, volume, input, unit, celsius, person, bunch, math, love, extension, code, activity, distance, student, idea, algebra, measurement, lot, result, ton, current, dine, retire, physics, gas, currency, numeral, copy, conversion, direction, chemistry, cost, expression, silly, gram, equation, @neilplotnick, tweet, involve, follow, great, boring, print, future, kilometer, challenge, formula, comment, geometry, desert, thing, user, operation, age, mathematical, stuff]"
"77","[big, tendency, maintain, regulate, discourage, focus, program, bit, number, problem, 1970, casual, write, order, happen, large, opportunity, youngster, slow, 1980, analyze, processing, inefficient, wing, card, checking, viewer, study, wait, long, punch, instant, result, smoothly, computer, encourage, chaotic, listing, hand, art, people, picture, lead, generally, call, fast, prayer, answer, throw, progress, thing, small, tonight, feel, screen, good, operator, regularly, hit, faster, post, compile, beginner, limit, military, day, realize, waste, test, batch, ugly, check, sort, list, external, piece, gratification, desk, support, code, idea, error, speed, effective, hour, hard, smooth, amount, downside, limited, apply, interesting, start, control, minute, print, form, developer, time, tempting]"
"78","[small, bad, year, hall, discussion, blog, good, nearby, approach, number, high, post, friend, easily, hat, talk, huge, proof, exhibit, day, conversation, energy, knowledge, rain, read, hallway, level, work, lose, understand, excite, require, recognize, upbeat, feed, person, energize, carefulness, valuable, vaccination, engaged, venue, virtual, #csta2022, conference, session, wear, concurrent, knowable, lot, frankly, search, reconnect, extra, eat, hotel, trademark, place, event, harder, track, hand, famous, exhibitor, explore, wide, previous, learn, purchase, staff, requirement, people, great, food, nice, special, awesome, expect, meet, glad, travel, fun, attendance, story, apricate]"
"79","[lunch, year, graphical, hall, rubric, program, https://codio.github.io/parsons-puzzle-ui/dist/, feedback, tea, hack, problem, review, friend, catch, exhibit, jump, period, grow, hallway, work, require, pack, morning, exam, slide, grade, favorite, love, turn, hot, worth, flaw, encourage, peer, term, share, place, free, creation, key, policy, include, side, creator, break, learn, team, people, great, picture, expect, fast, hacker, blue, submission, formative, thing, open, couple, attend, breaker, bonus, feel, official, source, briefing, good, spring, bet, presentation, tie, assessment, amazing, snipping, post, school, find, create, talk, conversation, programming, area, resource, cpt, format, develop, real, cybersecurity, tool, task, person, improve, topic, mock, distance, student, session, idea, link, autograding, training, slot, video, media, proctor, yesterday, security, advise, spend, track, early, year.videos, social, introduce, interesting, start, rapidly, pair, special, afternoon, schedule, apcs, infrastructure, short, time, base]"
"80","[play, thought, reader, hardy, feel, program, lab, good, building, reference, closing, late, leave, day, write, group, app, keynote, large, resource, kind, night, tomorrow, pay, plenty, archive, community, cybersecurity, version, morning, airport, teaching.cyber.org, guilty, job, party, option, full, note, wait, session, update, learning, teaching, skip, slot, educator, worth, lot, code.org, general, today, event, early, hear, mind, set, learn, assignment, teach, tired, premier, start, brain, great, people, room, stay, nifty, cyber.org, standing, face, fund, short, attention, time, wrap, age]"
"81","[con, thought, data, software, bad, project, program, discussion, computerized, tracking, drown, consist, number, cage, son, problem, school, generate, write, group, fashioned, individual, work, duplicate, pro, square, planning, traditional, system, contents, letter, elementary, bingo, computerize, card, fundraiser, datum, love, student, idea, cag, range, storage, interface, principal, yesterday, lot, random, ball, computer, design, verify, theme, event, free, track, factor, physical, human, hand, identify, center, interesting, column, label, draw, store, specific, logical, structure, call, grid, complicated, typical, permit, authentic, obvious, thing, user, fun, open, discuss]"
"82","[reason, advanced, pre-ap, program, offer, join, moderate, surface, edit, active, scratch, benefit, science, catholic, placement, math, favorite, device, valuable, chapter, fall.some, wear, range, recommend, teaching, bootstrap, local, worth, lot, code.org, computer, physics, member, share, place, free, include, outstanding, learn, suggestion, curriculum, people, great, lead, call, cyber.org, atom, thing, small, couple, codehs, subject, project, blog, good, spring, school, huge, finish, hat, group, a-to-z, development, level, resource, pay, check, instructor, background, game, private, handbook, advice, idea, book, training, media, membership, booming, point, general, security, teacher, provider, ready, extra, physical, pixel, highly, move, wide, social, voluntold, interesting, teach, start, build, time, interested]"
"83","[education, depend, year, bring, competition, program, bit, laptop, type, offer, robot, fan, stick, connection, hardware, raspberry, meetedison.com, python, younger, work, lose, classroom, scratch, traditional, operate, provide, ozobot, science, device, favorite, object, lifelong, range, cute, lot, computer, involvement, speak, place, popular, controller, middle, explore, learn, sell, involve, curriculum, brain, people, great, awesome, site, future, atom, choice, thing, couple, usb, buy, screen, project, language, promise, good, robotic, high, post, school, find, talk, discover, read, ev3, exploration, resource, workshop, sort, check, longer, personally, true, elementary, sensor, bunch, dash, internet, sponsor, game, kindergarten, student, inexpensive, link, interact, scale, idee, platform, computing, security, teacher, desktop, hour, interest, today, spend, physical, pixel, notice, move, wide, grandson, interesting, teach, start, control, message, cyber, deeper, visit, window, comprehensive, age]"
"84","[couple, week, software, student, year, project, guy, video, listen, lot, computer, teacher, school, podcast, share, hear, case, hardware, creator, middle, famous, resource, work, podcase, cool, teach, develop, curriculum, check, great, intelligence, minute, literacy, artificial, person, science, daily, online, time, http://www.akrobotnerd.com, interview, stuff]"
"85","[app, wait, week, half, determine, student, start, project, decide, clock, proctor, minute, analog, coding, hour, blame, time, chart, class, guide, return, laziness]"
"86","[accurate, year, project, accuracy, language, simple, decide, program, space, crack, character, white, tab, post, school, loop, academic, percentage, huge, text, manipulation, greater, conversation, algorithm, add, happen, period, researcher, contest, individual, method, count, pay, sort, real, develop, article, intelligence, feed, piece, letter, difference, consideration, word, datum, study, substitution, string, idea, book, utility, industry, occurrence, point, long, worth, lot, array, cypher, place, human, class, include, mind, learn, interesting, length, counter, involve, people, nice, logical, special, artificial, money, obvious, step, magazine, time, thing, undergraduate, assign]"
"87","[prepare, career, software, feel, focus, language, simple, construct, hope, number, loop, complex, interrupt, finish, state, day, programming, recursion, happen, comparison, work, understand, wonderful, sort, check, cognitive, piece, style, evil, job, support, complexity, flag, student, infinite, concept, eventually, head, teacher, load, fortran, recall, today, spend, statement, iteration, power, possibility, include, pretty, set, decision, learn, looping, teach, start, counter, structure, call, powerful, variable, syntax, developer, semester, time, family, thing, wrap, quarter, base]"
"88","[magic, couple, stack, staple, year, project, decide, simple, program, type, good, youth, cover, loop, function, arrrylist, visual, talk, tall, text, add, read, pez, method, sense, handle, click, provide, desk, demonstration, aid, option, datum, love, larger, code, student, purpose, turn, demo, point, dispenser, lot, button, ball, random, flexibility, file, load, array, today, physical, class, toy, pretty, set, question, interesting, display, great, sample, modify, expect, classic, answer, build, unfamiliar, semester, inch, time, fun, assign]"
"89","[big, prepare, leader, education, year, bring, county, togetherness, program, professional, executive, locally, annual, friend, easily, connection, state, happen, grow, director, work, nationally, fairly, sense, wonderful, community, push, seat, science, chapter, wait, conference, industry, privilege, local, long, lot, promote, computer, involvement, member, national, permanence, committee, change, transition, lead, call, organization, thing, board, story, small, couple, strength, kudos, honor, feel, experience, advocate, amazing, school, leave, huge, credit, train, group, development, individual, pay, feeling, real, develop, sustainability, spade, district, ground, support, belong, learning, hero, membership, life, highlight, teacher, stronger, company, hard, track, win, early, smooth, pain, start, lobby, growth, time, hectic]"
"90","[explain, big, week, education, student, underpowered, buy, bring, focus, program, concern, worth, cloud, computer, school, find, older, event, write, announcement, app, development, figure, cost, question, work, effectively, interesting, understand, sort, develop, people, push, call, marketing, environment, answer, hype, detail, device, base]"
"91","[play, reason, equivalent, year, ago, feel, language, simple, number, rear, crack, differently, pick, find, loop, horrible, function, manipulation, programming, flow, knowledge, me.i, python, development, goal, read, ugly, ide, list, easy, tool, backwards, forget, dictionary, solve, bunch, math, basic, favorite, basics, code, string, student, ahead, motivation, book, devil, learning, head, stretch, library, feature, array, spend, statement, class, graphic, hand, mistake, mind, pretty, move, learn, idle, forward, start, control, spoiled, declaration, straight, expect, radar, powerful, puzzle, variable, syntax, step, idiom, comment, time, choice, thing, fun, stuff]"
"92","[thought, year, number, convinced, understanding, resonate, struggle, knowledge, evaluative, large, work, understand, require, correlation, guess, grade, completely, larger, love, compare, study, strong, prove, perfectly, lazy, exercise, enjoy, long, lot, grasp, spark, copy, close, quiz, include, provable, grading, question, observation, change, closer.and, satisfaction, great, cheat, face, watch, progress, complete, choice, thing, project, blog, good, assessment, correctly, view, post, school, useless, creativity, ideal, logically, enamored, cheating, tool, rigorous, success, solve, demonstrate, code, purpose, student, idea, motivation, scientific, concept, link, scale, learning, instrument, tend, teacher, common, hard, contrary, class, process, pretty, practical, determine, limited, teach, interesting, multiple, reading, thread, increase, haver, conduct, material, variable, short, comment]"
"93","[love, play, code, dig, university, book, learning, bit, lot, crack, library, loop, today, graphic, python, turtle, usual, method, learn, work, interesting, draw, wrapping, picture, environment, productive, time, support, fun]"
"94","[feather, rewarding, attend, year, honor, discussion, experience, hope, good, spring, presentation, number, anxious, pick, prior, review, surprisingly, bird, volunteering, connection, knowledge, area, proposal, audience, read, kind, workshop, community, accept, expand, person, energize, science, topic, evaluate, poster, participation, conference, role, submit, critical, shy, session, summer, computer, teacher, encourage, fall, hour, mini-session, extra, share, process, website, chance, learn, apply, reviewer, great, minute, call, meet, application, online, submission, semester, time, visit, invite, facet, worthwhile, essential]"
"95","[play, buy, recommendation, type, humorous, hardcopy, number, problem, overflow, friend, depressed, kilogram, write, case, read, bookshelf, easy, unit, measure, enjoyable, person, binary, science, math, assume, valuable, non-fiction, humble, study, role, student, mathematics, book, edition, recommend, lot, confuse, pound, computer, teacher, physics, copy, hard, interesting, change, equation, people, engineer, wrong, expect, answer, mismatch, glad, variable, misinterpret, fashion]"
"96","[small, software, depend, wealthy, year, bring, focus, lab, constantly, remote, distancing, spring, split, school, safety, plain, poor, easily, talk, totally, group, area, grow, issue, work, provide, flexible, final, device, virtual, access, student, learning, teaching, disappear, matter, point, remove, network, lot, computer, current, flexibility, teacher, lecture, ability, sterilize, close, class, situation, connect, table, cleaning, move, licensed, learn, willingness, involve, clean, great, room, spread, layout, movable, machine, easier, movement, thing, open]"
"97","[parent, year, happy, bring, hope, building, fan, son, problem, school, find, finish, talk, case, worry, proposal, audience, work, doubt, sort, develop, tough, tool, physically, adopt, comfortable, science, elementary, ides, final, math, care, full, love, server, kindergarten, virtual, week, conference, mortar, sympathetic, student, idea, teaching, learning, media, summer, point, educator, principal, lot, confess, computer, teacher, feature, retire, busy, older, share, brick, sympathy, hand, art, middle, grandson, question, social, learn, teach, start, involve, people, call, powerful, machine, online, easier, time, thing]"
"98","[play, rds, emergency, goodie, remote, lab, good, school, basically, create, farm, connection, day, goal, issue, resource, director, work, wonderful, require, tool, piece, 10ish, basic, device, internet, full, server, virtual, role, access, student, log, session, teaching, mess, interface, behave, computer, security, desktop, feature, extra, debugging, physical, key, connect, pretty, set, manager, learn, break, start, anytime, control, technology, configure, broker, people, powerful, machine, easier, essentially, describe]"
"99","[play, prepare, big, parent, lunch, education, trend, year, remote, plan, happen, issue, reduced, require, system, provide, grade, difference, competitive, participation, compare, study, activity, city, teaching, teens, privilege, turn, matter, local, long, lot, frankly, free, relationship, close, belief, surprised, receive, participate, learn, people, joke, culture, chat, report, progress, thing, attend, emergency, poll, high, major, school, leave, huge, qualify, travelling, surprise, pay, mentally, article, tool, core, daily, true, support, private, week, student, kid, video, percent, tend, teacher, git, public, buck, rate, parallel, ready, today, treasure, hard, factor, class, move, cost, social, assignment, start, technology, magnet, form, online, time, respond, attendance]"
"100","[prepare, medical, expert, education, bad, attend, emergency, sick, remote, experience, hope, cough, spring, cover, convinced, differently, school, casual, realize, happen, work, testing, germ, classroom, sensitive, tool, camp, reopen, indication, replacement, remotely, care, treatment, deal, week, consciously, student, young, healthier, prospects, wear, interact, teaching, remark, summer, yesterday, lot, total, teacher, fall, peer, hard, place, physical, class, hear, sit, pinch, question, break, learn, overlook, start, clean, people, great, lead, stay, spread, expect, vaccine, mouth, future, interaction, online, attention, risk, fourth, thing, penny, open, return]"
"101","[shut, couple, covid, thought, subject, administration, emergency, blog, remote, experience, hope, good, cover, number, view, trip, post, school, friend, write, day, traffic, area, read, large, level, check, article, covid19, driving, week, student, unexpected, university, advice, weekend, update, teaching, recommend, booming, matter, thinking, educator, point, yesterday, tourist, result, web, vacation, lecture, share, close, class, notice, move, business, question, teach, start, metaphoric, neighbor, people, stay, weird, site, mouth, report, window, family, respond, interview, blog.i, open]"
"102","[play, quick, couple, year, lightly, feel, project, tedious, program, bit, variation, professional, experiment, leave, find, limit, stick, write, programming, case, algorithm, development, read, method, shape, pleasure, night, understand, cryptography, classroom, real, easy, benefit, math, chapter, code, mathematics, student, idea, book, exercise, teaching, point, lot, transposition, sleep, stretch, coding, computer, library, public, encryption, modern, common, muscle, hard, key, hand, cipher, mind, chance, explore, learn, efficient, assignment, interesting, teach, start, revisit, fascinating, future, engage, complicated, easier, time, thing, fun, story, stuff]"
"103","[play, standard, big, thought, upload, scare, blog, bit, repository, good, concern, reference, post, beginner, context, talk, write, announcement, train, reduce, method, literally, programmer, documentation, doubt, sort, complain, system, support, option, extension, week, code, criterion, student, idea, searching, update, dumb, learning, training, turn, video, customize, demo, redundant, yesterday, default, search, database, computer, teacher, refactoring, reject, aspect, optimist, event, free, human, latest, completion, receive, process, set, business, learn, interesting, suggestion, improvement, call, machine, complicated, obvious, online, initially, comment, thing, account]"
"104","[optimal, software, dimensioned, character, doubly, optimization, assumption, write, happen, cache, incrementor, issue, remain, programmer, understand, interpreter, recognize, moot, allocate, difference, religious, matter, long, smart, lot, remember, result, low, assembly, term, iterate, question, curly, bigger, change, column, people, call, single, answer, machine, assist, pre-increment, thing, open, discuss, argument, coder, prefer, declare, reader, language, tight, good, space, fortunately, high, post, tab, beginner, loop, bias, reply, day, generate, programming, level, brace, doubt, sort, heart, longer, option, memory, code, critical, learning, point, smarter, timer, computing, array, post-increment, today, definition, hard, compiler, dimension, nebulous, early, pretty, process, interesting, differ, modify, performance, application, variable, descriptive, easier, time, writer, stem]"
"105","[play, stack, correct, advanced, year, dice, project, simple, american, program, bit, good, cover, hit, prior, implication, create, text, international, struggle, case, fairy, image, method, pez, work, kind, constructor, count, tomorrow, cultural, piece, flexible, science, desk, true, difference, playing, suit, card, object, coin, datum, study, week, code, color, student, candy, idea, capacity, lot, dispenser, remember, computer, interestingly, current, nominal, array, parameter, design, class, introduction, live, quiz, include, practical, question, learn, interesting, teach, start, revisit, false, familiar, call, face, apcs, answer, complicate, complicated, overly, front, inch, time, thing, simply, fun]"
"106","[reason, country, disconnect, couple, software, year, importantly, feel, project, decide, hope, experience, good, presentation, problem, poor, continue, host, create, reply, write, day, powerpoint, order, attractive, resource, work, understand, pay, plenty, develop, real, feeling, version, benefit, senior, expand, longer, demonstration, support, greatly, full, lucky, request, generously, idea, book, edition, update, teaching, learning, turn, video, subsequently, educator, teacher, spend, grace, share, hard, copy, free, capitalist, reward, mentore, grateful, pretty, disclosure, chance, living, survive, charge, business, sell, start, appeal, people, pair, underpaid, awesome, site, pdf, money, material, publish, online, comment, time, stuff]"
"107","[data, feel, project, bag, language, program, blog, good, professional, number, post, scheduling, create, html, text, day, write, fairy, jive, app, development, read, markup, work, lesson, suppose, tool, prioritization, feed, planning, system, hydroponics, processing, word, concordance, love, datum, code, purpose, idea, book, link, exercise, learning, mess, remind, teacher, interest, trouble, definition, speak, table, sit, editor, pretty, honestly, introduce, cool, start, appeal, follow, clean, textual, picture, prioritize, call, material, build, time, thing, fun, base, stuff]"
"108","[declare, year, language, experience, good, meaningful, ambiguity, high, problem, differentiate, beginner, school, context, talk, helpful, write, day, programming, case, knowledge, diminutive, add, spell, development, closely, read, misspell, work, programmer, module, understand, difficult, handle, sensitive, check, sort, fill, tool, intelligence, exist, warn, forget, letter, hint, ides, difference, correction, assume, fussy, blank, code, inference, student, unclear, teaching, error, long, smart, lot, computer, current, teacher, extra, scope, design, trouble, speak, continual, experienced, notice, editor, relatable, pretty, question, spelling, teach, parse, message, people, wrong, call, typo, artificial, answer, build, variable, easier, thing]"
"109","[explain, correct, aide, awful, experience, meaningful, cover, high, school, visual, talk, write, struggle, group, cache, item, usual, work, understand, pay, insist, priority, science, gui, demonstrate, send, object, larger, request, code, student, diligently, careful, skip, error, interface, lot, remember, computer, invalidation, today, spend, hard, copy, class, pretty, figure, display, suggestion, start, fault, draw, joke, wrong, expect, form, answer, build, easier, attention, step, time, thing, board]"
